"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Matthew Buckley","NO",11,2005-03-21,2005,5.11,186,"RW","Oshawa Generals",35,18,13,31,0.89,12,3,4,0,0,0,4,1,10,1,7,22.6,57.5
"Owen Allard","NO",14,2004-01-13,2004,6.02,200,"C","Soo Greyhounds",31,14,17,31,1,18,3,3,0,2,2,2,1,18,1,6,19.4,53.5
"Cooper Foster","NO",29,2005-06-04,2005,6,187,"C","Ottawa 67's",33,13,18,31,0.94,3,3,5,1,0,1,6,1,24,1,8,25.8,32
"Beckett Sennecke","NO",45,2006-01-28,2006,6.03,178,"RW","Oshawa Generals",36,13,18,31,0.86,13,3,7,0,0,0,3,0,39,1,10,32.3,27
"Rodwin Dionicio","NO",94,2004-03-30,2004,6.02,205,"D","Saginaw Spirit",31,12,19,31,1,0,4,5,0,1,1,1,0,53,1,9,29,-0.5
"Nathan Villeneuve","NO",89,2006-04-13,2006,6,190,"C","Sudbury Wolves",38,11,20,31,0.82,3,1,4,2,0,2,2,0,40,1,5,16.1,15
"Jorian Donovan","NO",75,2004-04-05,2004,6.02,195,"D","Saginaw Spirit",37,9,22,31,0.84,7,0,4,0,2,2,1,1,36,1,4,12.9,22
"Brad Gardiner","NO",25,2005-03-06,2005,6.01,189,"C","Ottawa 67's",39,9,22,31,0.79,-9,1,9,0,0,0,1,1,18,1,10,32.3,24
"Justin Cloutier","NO",24,2005-06-20,2005,5.08,182,"RW","Soo Greyhounds",41,17,13,30,0.73,8,4,3,2,0,2,1,2,18,1,7,23.3,43.5
"Arttu Karki","NO",39,2004-12-08,2004,6.02,178,"D","Soo Greyhounds",32,16,14,30,0.94,0,11,7,0,1,1,3,2,6,1,18,60,47
"Valentin Zhugin","NO",13,2004-12-13,2004,5.11,180,"LW","Windsor Spitfires",38,16,14,30,0.79,-16,4,4,0,0,0,1,2,19,1,8,26.7,18
"Rasmus Kumpulainen","NO",68,2005-08-08,2005,6.02,206,"C","Oshawa Generals",30,15,15,30,1,3,4,4,0,0,0,1,1,20,1,8,26.7,35.5
"Florian Xhekaj","NO",43,2004-06-27,2004,6.04,190,"LW","Brantford Bulldogs",36,14,16,30,0.83,8,1,5,0,0,0,2,0,37,1,6,20,23
"Bryce McConnell-Barker","NO",18,2004-06-04,2004,6.02,188,"C","Soo Greyhounds",30,12,18,30,1,-4,2,6,0,0,0,4,1,12,1,8,26.7,35
"Servac Petrovsky","NO",18,2004-08-10,2004,5.11,177,"C","Owen Sound Attack",29,10,20,30,1.03,-4,5,8,0,0,0,2,0,8,1,13,43.3,38
"Kaden Pitre","NO",17,2006-02-08,2006,5.11,167,"C","Flint Firebirds",32,10,20,30,0.94,-7,1,7,1,0,1,0,1,20,1,8,26.7,23
"Joey Willis","NO",14,2005-03-14,2005,5.1,180,"C","Saginaw Spirit",39,4,26,30,0.77,18,0,5,0,1,1,0,1,11,1,5,16.7,54
"Tristan Bertucci","NO",12,2005-07-12,2005,6.02,172,"D","Flint Firebirds",41,4,26,30,0.73,10,2,10,1,1,2,0,1,65,1,12,40,-8
"Ryan Abraham","NO",12,2004-04-05,2004,5.08,168,"C","Windsor Spitfires",36,16,13,29,0.81,-12,1,4,0,1,1,2,0,38,1,5,17.2,1.5
"Sam Alfano","NO",33,2004-01-18,2004,6.04,221,"RW","Erie Otters",38,12,17,29,0.76,-3,2,2,0,0,0,1,0,35,1,4,13.8,11.5
"Sandis Vilmanis","NO",23,2004-01-23,2004,6.02,192,"RW","North Bay Battalion",32,11,18,29,0.91,-8,3,7,0,0,0,2,0,6,1,10,34.5,35
"Zander Veccia","NO",27,2004-07-27,2004,5.1,184,"RW","Guelph Storm",39,8,21,29,0.74,1,1,5,0,0,0,3,1,18,1,6,20.7,30.5
"Ethan Miedema","NO",15,2005-03-22,2005,6.04,201,"LW","Kingston Frontenacs",40,15,13,28,0.7,-13,8,5,0,0,0,2,0,29,1,13,46.4,7.5
"Brenden Sirizzotti","NO",57,2003-04-14,2003,6,193,"RW","Barrie Colts",38,14,14,28,0.74,4,2,7,0,0,0,3,0,8,1,9,32.1,45
"Linus Hemström","NO",90,2004-01-16,2004,6,169,"RW","Kingston Frontenacs",33,13,15,28,0.85,-6,2,5,0,3,3,1,1,8,1,7,25,34.5
"Brady Stonehouse","NO",17,2004-08-06,2004,5.1,194,"RW","Ottawa 67's",39,13,15,28,0.72,-3,4,7,0,1,1,2,1,34,1,11,39.3,11.5
"Brett Bressette","NO",89,2003-07-04,2003,5.09,174,"LW","Erie Otters",38,10,18,28,0.74,-8,4,10,0,0,0,1,0,8,1,14,50,31
"Ben Bujold","NO",89,2004-03-03,2004,6,179,"C","Brantford Bulldogs",38,10,18,28,0.74,15,0,1,1,1,2,0,2,8,1,1,3.6,54
"Andrew LeBlanc","NO",27,2004-06-03,2004,6.01,176,"LW","North Bay Battalion",38,10,18,28,0.74,1,1,2,0,0,0,3,1,34,1,3,10.7,14
"Luca D'Amato","NO",4,2004-08-18,2004,5.09,160,"D","Oshawa Generals",39,9,19,28,0.72,12,0,7,0,0,0,1,0,32,1,7,25,26.5
